ExchangeCode,ShortName
ALFALAVAL,ALFLAV
AMAR,AMAREM
ANDHRABANK,ANDBAN
BANKRAJAS,BANRAJ
BELCERAMIC,BELCER
BLOWPLAST,BLOPLA
BLUEBIRD,BLUBIR
BRANDHOUSE,BRARET
GEODESIC,BVHOLD
CAPF,CAPFIR
CENTBOP,CENBN
COMPUTECH,COMINT
COREEDUTEC,COREDU
CYBERSPACE,CYBINF
CIPL,DCLPOL
DECOLIGHT,DECCER
DHANUS,DHATEC
DISHMAN,DISPHA
EICHER,EICHER
ELAND,ELAAPP
ERAINFRA,ERAINF
ESTL,ESSSTE
ETC,ETCNET
FTCPOF3YDV,FTCPO2
GRABALALK,GLOALO
GLORY,GLOPOL
GTOFFSHORE,GREOFF
GSLNOVA,GSLNOV
SIGROUPIND,HERCHE
HINDDORROL,HINDOR
MICRO,HININK
HINDLEVCHM,HINLC
FSS,HUGSOF
INDIABULLS,INDBUL
JSWISPAT,ISPIND
ITCHOTEL,ITCHOT
JUMBO,JUMBAG
KFA,KINAIR
KLGSYSTEL,KLGSYS
LAKSHMIMIL,LAKMIL
LITL,LANINF
MAWANA,MAWSUG
MICROTECH,MICTEC
MONSANTO,MONSIN
IOLN,NATSYN
NICCO,NICCOR
OCL,OCLIND
PAREKHPLAT,PARPLA
PARRYSUGAR,PARSUG
PATNI,PATCOM
PRITHVI,PRIINF
PRICOL,PRILIM
RAINCALCIN,RAICAL
RENVL,RELENE
RELGOLD,RELGOL
RNRL,RELNAT
RPL,RELPET
ORGINFO,SARELE
SCINTSOFT,SCISOF
SHPRE,SHPREC
SILTAPCHEM,SILCHE
SREINFRA,SRE114
SREINFRA,SRE115
SORILINFRA,STOONE
TREADS,TRELIM
TRICOM,TRIFI
TV-18,TV18
TWILITAKA,TWILIT
VIJAYABANK,VIJBAN
VIKASHMET,VIKMET
VINCARDS,VINCAR
VISHALEXPO,VISEXP
VISUALSOFT,VISUAL
VITALCOMM,VITCOM
WARTSILA,WARNSD
CAROLINFO,WOCLIF
ZANDUREALT,ZANREA
APLAB,APLAB
BPLREFRIG,BPLREF
CREWBOS,CREBOS
FKONCO,DABPHA
DCHL,DECCHR
EXCELCROP,EXCCRO
GEORGWILIM,GEOWIL
HANILERA,HANERA
HINDSPG,HINSPI
HINVDIR,ILFINV
ITIL,INFTE
JINDALDRIL,JINDRI
KOJAMFIN,KOJFIN
NEPCTEX,NEPTEX
NCOPPER,NISCOP
RPGCABLES,RPGCAB
SHRIRAMINV,SHRINV
BALASTEELS,SHRIRA
SYNTHCHEM,SYNCHE
JEYPORE,THEJEY
VDOCONINTL,VIDINT
SYRSGS,SYRSGS
TORRENTSEC,SURELE
GOLDSTAR,GOLPOW
ABAN,ABAOFF
AMARAJABAT,AMARAJ
SHRVINDPPR,SHRVIN
BCONCEPTS,BRACON
SHLAKSHMI,SHRLA
SIRPAPER,SIRPAP
RAMGOPOLY,RAMPOL
AUTOLITIND,AUTOLI
EMAMIPAP,EMAPAP
FACT,FACT
GUJRAFFIA,GUJRAF
GODREJCP,GODCON
SCHAEFFLER,FAGBEA
GBGLOBAL,MANDIN
ORICONENT,ORICON
SETFNIF50,SBINIF
BALKRISHNA,BALPAP
SHYAMCENT,SHYCEN
ADANITRANS,ADATRA
FEDERALBNK,FEDBAN
MANORAMA,MANOIN
SGBJUN30,SGBT60
CONFIPET,CONPE
SYNGENE,SYNINT
EMKAYTOOLS,EMKTAP
KAYA,KAYLIM
NGLFINE,NGLFIN
AYMSYNTEX,AYMSYN
KCK,KCKIND
PPL,PRAPIP
AARON,AARIN
RAMASTEEL,RAMSTE
AURUM,MAJLIM
MWL,MANWOR
PKTEA,PERTEA
SKP,SKPBEA
RADHIKAJWE,RADJEW
DGCONTENT,DIGLI
CSLFINANCE,CONSEC
GUJSTATFIN,GUJSTA
UNIVAFOODS,HOTRUG
MOHOTAIND,RRMAHO
FINCABLES,FINCAB
JISLJALEQS,JAIIRR
SHAREINDIA,SHARIN
STEELCITY,STECIT
KSHITIJPOL,KSHPOL
FINPIPE,FININD
MUTHOOTCAP,MUTCAP
DYCL,DYNCAB
AXISBNKETF,AXBETF
LUPIN,LUPIN
MCDOWELL-N,UNISPI
SATIN,SATCRE
ARVSMART,ARVINF
POWERMECH,POWMEC
RAMRAT,RAMRAT
BLUEBLENDS,BLUBLE
AGNI,AGNGRE
FLATPROD,CMIFPE
MOHEALTH,MOTHEA
UTINIFTETF,UTINIF
KOTAKCONS,KOTCON
UTISENSETF,UTISEN
UFLEX,UFLLIM
SHARDAMOTR,SHAMOT
515GS2025,515K25
NAVKARCORP,NAVCOR
RAMAPHO,RAMPHO
PENPEBS,PENENG
NIFTYBEES,NIFBEE
KRBL,KRBL
MPSLTD,MACIN
MARKSANS,MARPHA
TCI,TRACOR
ICICIMOM30,ICI200
SHREEPUSHK,SHRPUS
LOYALTEX,LOYTEX
GUJGASLTD,GUJGA
AMBASARABH,AMBSAR
BHARTIARTL,BHAAIR
FLEXCHEM,FLECHE
USASEEDS,UPSSEE
SADBHIN,SADINF
HDFCNEXT50,HDFN50
PNEUMATIC,PNEHOL
HDFCNIF100,HDF100
ASAL,AUTSTA
OLECTRA,GOLTEL
FLEXENGG,FLEENG
PRABHAT,PRADAI
PONNIERODE,PONERO
PNB,PUNBAN
ARVINDREM,ARVREM
CMAHENDRA,CMAHEX
KOTAKMNC,KOTMNC
HELIOSMATH,HELMAT
INNOIND,INNIND
PLETHICO,PLEPHA
TIMBOR,TIMHOM
SHAIVAL,SHAREA
NIFTYQLITY,ADIQUA
MOMENTUM,ADIMOM
FORBESGOK,FORCOM
SURANAT&P,SURTEL
VEEKAYEM,VEEFAS
TIMESGTY,TIMGUA
726GS2032,726H32
ICICIINFRA,ICIINF
INDIAMART,INDMAR
FOSECOIND,FOSIND
SPORTKING,SPOIND
HEXAWARE,HEXTEC
OFSS,ORAFIN
UNIONBANK,UNIBAN
APTECHT,APTLIM
HIGHWAYS,HIGINV
ZENSARTECH,ZENTE
DSPSILVETF,DSPSIL
OAL,CAMALL
AHIMSA,AHIIND
ALBK,ALLBAN
NOIDATOLL,NOITOL
FULFORD,FULIND
NUCLEUS,NUCSOF
SYRMA,SYRTEC
CANBK,CANBAN
MOQUALITY,MOTQUA
MOVALUE,MOTENH
GABRIEL,GABIND
DREAMFOLKS,DRESER
INDOSOLAR,INDLIM
GRMOVER,GRMOVE
HDFCSILVER,HDFSIL
JFLLIFE,JFLLIF
KORE,JAYJAL
DBOL,DHABIO
AMEYA,AMEPRE
LEEL,LLOELE
GENESYS,GENINT
GANESHANHY,GANANH
GODREJIND,GODIND
COAST-RE,COARE1
JUNIORBEES,NIFJUN
DIVISLAB,DIVLAB
IGFLFERT,INDFER
TMB,TAMMER
STCINDIA,STC
VIVIANA,VIVPOW
GARDENSILK,GARSIL
MEGAFLEX,MEGFLE
SABAR,SABFLE
TAPIFRUIT,TAPFRU
RADICO,RADKHA
INDORAMA,INDRA
ISHAN,ISHINT
PEPL,PEAENG
MARUTI,MARUTI
GARFIBRES,GARWAL
UTISUNDER,NIFUTI
LIQUIDBEES,LIBEES
INDORAMTEX,INDRT
91D221222,TQL22D
ABINFRA,ABINF
INFOBEAN,INFOTE
SANGINITA,SANCHE
ICICIBANKN,ICIPBE
DCMNVL,DCMNOU
SATIA,SATIND
SIRCA,SIRPAI
SECURKLOUD,8KMILE
NATHBIOGEN,NATHBI
KSOLVES,KSOIND
AGRITECH,AGRITE
GFSTEELS,GRAFOU
LIBAS,LIBDES
DANGEE,DANDUM
WOPOLIN,BAJPLA
SUMIT,SUMWOO
SHRENIK,SHRLIM
SGBJUL27,SGBT29
CREATIVE,CREPER
HARSHA,HARENG
COFFEEDAY,COFDAY
LIBAS-RE,LIBRE1
CLOUD,VARCLO
IDFCFIRSTB,IDFBAN
SGBAUG30,SGBT61
AXISILVER,AXISIL
INDIGO,INTAVI
ANNAPURNA,ANNSWA
KANDARP,KANDIG
GERMANREM,GERREM
SHK,SHKEL
MAKS,MAKENE
VARDHACRLC,VARACR
UCOBANK,UCOBAN
UGROCAP,UGRND7
BAGFILMS,BAGFIL
UGROCAP,UGRND8
UGROCAP,UGRND9
SUVEN,SUVLIF
JSL,JINSTA
NSIL,NALSON
SKSTEXTILE,SKSTEX
HDFCGROWTH,HDFG15
PERFECT,PERINF
WELSPUNIND,WELIND
HDFCQUAL,HDFQ30
HDFCVALUE,HDFV20
IGL,INDGAS
TVSELECT,TVSELE
RADAAN,RADMED
GHCL,GHCLIM
DREDGECORP,DRECOR
TVTODAY,TVTNET
UPL,UNIP
UNIENTER,UNIENT
SIL,STAIN
LUXIND,LUXIND
BALAXI,ANARUB
IBULHSGFIN,IBHN47
IBULHSGFIN,IBHN48
LICNETFN50,LICNIF
IBULHSGFIN,IBHN49
IBULHSGFIN,IBHN50
MUKANDLTD,MUKAND
IBULHSGFIN,IBHN51
IBULHSGFIN,IBHN52
IBULHSGFIN,IBHN53
IBULHSGFIN,IBHN54
IBULHSGFIN,IBHN55
APOLLO,APOMIC
IBULHSGFIN,IBHN56
AFFLE,AFFIND
AIFL,ASHINT
KEERTI,KEEKNO
PETRONET,PETLNG
IBULHSGFIN,IBHN57
PTC,POWTRA
IBULHSGFIN,IBHN58
DHANBANK,DHABAN
IBULHSGFIN,IBHN59
VAIBHAVGBL,VAIGLO
IBULHSGFIN,IBHN60
IBULHSGFIN,IBHN61
TTKHLTCARE,TTKHEA
BIOCON,BIOCON
TIPSFILMS,TIPFIL
MAHABANK,BANMAH
ICICIBANKP,ICIPRI
UMANGDAIRY,UMADAI
GICHSGFIN,GICHOU
ZOTA,ZOTHEA
SALZERELEC,SALELE
POONAWALLA,MAGFI
XPROINDIA,XPRIND
RKFORGE,RAMFOR
CLASSIC,CLADIA
TATAINFOTE,TATINF
GINNIFILA,GINFIL
DATAMATICS,DATGLO
91D050123,TQA23A
NDTV,NDTV
182D060423,THD23A
364D051023,TYJ23A
SDL24BEES,NIFCP
STER,STEIND
KRITINUT,KRINUT
SPANDANA,SPASPH
BANKBEES,BANBEE
LICNETFSEN,LICSEN
PILANIINVS,PILINV
SPICEJET,SPILI
CMRSL,CYBME
GIPCL,GUJIP
CCL,CCLPRO
KOTAKNV20,KOTN20
SUZLON-RE,SUZRE1
JPASSOCIAT,JAIASS
QMSMEDI,QMSMED
EXCELINDUS,EXCIND
LLOYDS,LLOLUX
MATRIXLABS,HERDRU
KRIDHANINF,KRIINF
LT,LARTOU
APARINDS,APAIND
SWASTIK,SWAPIP
AMBICAAGAR,AMBAGA
ABFRL,ADIWA1
AMFORGEIND,AMFIND
FROG,FROCEL
CENTEXT,CENEXT
NIITLTD,NIIT
OPTOCIRCUI,OPTCIR
GLAXO,GLAPHA
EMIL,ELEMA
LUMAXAUTO,LUMAUT
ULTRACEMCO,ULTCEM
TCS,TCS
HDFCMOMENT,HDFM30
COFORGE,NIITEC
HDFCLOWVOL,HDFV30
TEXINFRA,TEXMAC
GRUH,GRUFIN
COASTPP1,COAPP1
GLFL,GUJLEA
DCI,DCINF
PPLPHARMA,PIRPHA
FORCEMOT,FORMOT
WESTLIFE,WESDEV
GULFPETRO,GPPET
TRACXN,TRTEC
HDFCNIFETF,HDFRGE
HDFCSENETF,HDFSEN
LINCOLN,LINPH
INDSWFTLTD,INDSW
GUFICBIO,GUFBIO
91D190123,TQA23C
182D200423,THD23C
364D191023,TYJ23C
PHANTOMFX,PHADIG
CRANESSOFT,CRASOF
ASTRAMICRO,ASTMIC
GTL,GLOTEL
EBANK,EDENI
WELENT,WELEN
NTPC,NTPC
SALSTEEL,SALSTE
NEWGEN,NEWSOF
KOTARISUG,KOTSUG
LALPATHLAB,DRLAL
JBMA,JBMAUT
NHIT,NHAN21
BCP,BCPOW
NHIT,NHAN22
DWARKESH,DWASUG
NHIT,NHAN23
PRESSMN,PREADV
INDOCO,INDREM
GMBREW,GMBREW
IMPEXFERRO,IMPFER
SUPRAJIT,SUPENG
PATELENG,PATEN
ALKEM,ALKLAB
XCHANGING,XCHSOL
SUVEN-RE,SUVRE1
UTVSOF,UTVSOF
JSWSTEEL,JSWSTE
CONSOFINVT,JINPHO
HILTON-RE,HILRE1
SHRIRAMCIT,SHRCIT
GNFC,GNFC
JINDALPHOT,JINPH
JIYAECO,JIYECO
JPPOWER,JAIPOW
VISHAL,VISFAB
GOKEX,GOKEXP
GODAVRFERT,GODFER
EVEREADY,EVEIND
ELDERPHARM,ELDPHA
GOYALALUM,ADVTRA
WIMCOLTD,WIMCO
SUZLONPP,SUZPP1
SAKSOFT,SAKSOF
HPIL,HINI
ALLSEC,ALLTEC
SUKHJITS,SUKSTA
IIFL,IIFHOL
GODFRYPHLP,GODPHI
SHOPERSTOP,SHOSTO
IBULHSGFIN,IBHN62
MANGALAM,MANDRU
IBULHSGFIN,IBHN63
WELCORP,WELCOR
IBULHSGFIN,IBHN64
IBULHSGFIN,IBHN65
IBULHSGFIN,IBHN66
SSWL,STESW
IBULHSGFIN,IBHN67
IBULHSGFIN,IBHN68
IBULHSGFIN,IBHN69
IBULHSGFIN,IBHN70
NH,NARHRU
KENNAMET,KENIN
CYBERMEDIA,CYBMED
IBULHSGFIN,IBHN71
IBULHSGFIN,IBHN72
AMBER,AMBEN
SURYALAXMI,SURCOT
SHAHALLOYS,SHAALL
GLAND,GLAPH
JKPAPER,JKPAP
PRIMESECU,PRISEC
63MOONS,FINTEC
GRANULES,GRANUL
MERCATOR,MERLIN
JSWHL,JSWHOL
MANINDS,MANIN
CASTEXTECH,AMTIND
VHL,VARSPI
DCXINDIA,DCXSYS
GEOJITFSL,GEOBNP
RUSHI-RE1,RUSRE1
FMGOETZE,FEDGOE
IPSL,INTPER
GENUSPOWER,GENOVE
SWELECTES,SWEENE
RITEZONE,RITZON
YESBANK,YESBAN
MSPL,MSPSTE
VITAL,VITCH
TFL-RE,TRARE1
NECLIFE,NECLIF
FUSION,FUSMIC
SPLIL,SPLIN
AMIABLE,AMILOG
MCLEODRUSS,MCLRUS
ANZEN,ANZINV
PADMALAYAT,PADTEL
MEDANTA,GLOHEA
IDFC,IDFC
KANSAINER,KANNER
REVATHI,REVCP
BIKAJI,BIKFOO
GOLDIAM,GOLINT
RML,RANMA
HTMEDIA,HTMED
SASKEN,SASCOM
ICIL,INDCOU
GOODRICKE,GOOGRO
SYNCOMF,SYNFOR
RAJVIR,RAJVIR
FCSSOFT,FCSSOF
MAESGETF,MIRESG
FAZE3Q,FAZTHR
BSCFAUG08A,BENSPL
BSCFAUG08B,BENSPB
IMPAL,INDMO
ASIL,AMISPI
SATINDLTD,REGLEA
SUZLON,SUZENE
ACI,ARCCHE
AURIONPRO,AURSOL
RENUKA,RENSUG
FIVESTAR,FIVSTA
BASML,BANSPI
PRAXIS,PRAHOM
GOODYEAR,GOOIND
WINPRO,IRIMED
SCPL,SHECOO
KAYNES,KAYTEC
HDFCNIFIT,HDFCIT
HDFCPVTBAN,HDFPBK
AARTISURF,AARND1
DOLATALGO,DOLINV
COMP-RE,COMRE1
DELTAMAGNT,DELMAG
HNDFDS,HINFOO
INOXGREEN,INOGRE
RUSTOMJEE,KEYREA
OCCL,ORICAR
JSLHISAR,JINST
SOLEX,SOLENE
GRASIM,GRASIM
GREAVESCOT,GREAVE
ZIMLAB,ZIMLAB
GRMAGNET,GRMAGN
CREDITACC,CREND1
CREDITACC,CREND2
CREDITACC,CREND3
CREDITACC,CREND4
CREDITACC,CREND5
GSFC,GSFC
CREDITACC,CREND6
SWSOLAR,STEWIL
CASTROLIND,CASIND
ICICIFIN,ICIEXB
ESSEN-RE1,INTRE2
GTNIND,GTNIND
PRECAM,PRECAM
OSIAHYPER,OSIHYP
GUJALKALI,GUJALK
MBAPL,MADBHA
AMBUJACEM,AMBCE
MOLDTEKPP,MOLPP1
TEAMLEASE,TEASER
VASA,VASRET
DJML,DJMED
ROUTE,ROUMOB
SHOPER-RE,SHORE1
GUJBOROSIL,GUJBOR
KRISHANA,KRIPHO
AJOONI-RE,AJORE1
GFLLIMITED,GUJFLO
GUJRATGAS,GUJGAS
PRITIKA,PRIENG
NPBET,TATNPB
BAHETI,BAHREC
ABB,ABB
DHARMAJ,DHCGU
SECL,SALEXT
SAFARI,SAFIND
BILENERGY,BILENE
91D090323,TQC23B
182D080623,THF23B
PBAINFRA,PBAINF
UNIPARTS,UNIND
360ONE,IIFWEA
BRFL,BOMRAY
ABCIL,ADIBI
IIFLSEC,IIFSEC
TRIVENI,TRIENG
KOTAKSILVE,KOTSIL
AIAENG,AIAENG
EKC,EVEKAN
ARHAM,ARHTEC
EMCO,EMCTRA
VIMTALABS,VIMLAB
NAHARINDUS,NAHIND
ORIENTABRA,ORIABR
QUICKHEAL,QUIHEA
KERNEX,KERMIC
REPRO,REPIND
HARRMALAYA,HARMAL
COMSYS,COMSYS
91D160323,TQC23C
182D150623,THF23C
EBBETF0433,BHABO6
ICICI10GS,ICIBMG
PVRINOX,PVRLIM
GALAXYSURF,GALSUR
CELEBRITY,CELFAS
TECHNOFAB,TECENG
NITINSPIN,NITSPI
HATSUN-RE,HATRE1
ZICOM,ZICELE
ROHLTD,ROYORC
RCOM,RELCOM
TFLPP,TRAPP1
KSK,KSKENE
ENIL,ENTNET
GSPL,GSPL
ICICICOMMO,ICICOM
RCAPVL,RCVL
ALLETEC,ALLETE
SGBSEP27,SGBT31
JAGRAN,JAGPRA
SULA,SULVIN
INOXLEISUR,INOX
GVKPIL,GVKPOW
SADBHAV,SADENG
SUNILHITEC,SUNHIT
SAKUMA,SAKEXP
91D230323,TQC23D
182D220623,THF23D
KEC,KECIN
364D211223,TYL23C
RSWM-RE,RSWRE1
HCL-INSYS,HCLINF
JKCEMENT,JKCEME
INDOTECH,INDTEC
LANDMARK,LANCAR
MARINE,MARELE
M&MFIN,MAHFIN
AHL,ABAHOL
BLKASHYAP,BLKASH
VISASTEEL,VISST
ANDHRAPET,ANDPET
HDFC,HDFC
NITCO,NITLIM
IEL,INDENT
CENTURYPLY,CENPLY
KEI,KEIIND
DOLPHINOFF,DOLOFF
MANPASAND,MANBEV
NITINFIRE,NITFIR
ORTEL,ORTCOM
DOLLEX,DOLAGR
HDFCBANK,HDFBAN
AKG-RE,AKGRE1
SOLARINDS,SOLIN
GALLANTT,GALMET
ARIHANTACA,ARIACA
VAKRANGEE,VAKRAN
UMA,UMACON
MALUPAPER,MALPAP
KFINTECH,KFITEC
HEG,HEG
MURLIIND,MURAGR
SGL,STLGLO
UTTAMSUGAR,UTTSUG
SDBL,SOMDIS
KKCL,KEWKIR
ROHITFERRO,ROHFER
BHAGERIA,BHAGIN
SUNTV,SUNTV
GPIL,GODPOW
585GS2030,585L30
APCL-RE,ANJRE1
RSYSTEMS,RSYSTE
SGBN28VIII,SGBT45
JETAIRWAYS,JETAIR
EMKAY,EMKGLO
ELIN,ELIELE
KELLTONTEC,KELTEC
IBULHSGFIN,IBHN77
LOKESHMACH,LOKMAC
IBULHSGFIN,IBHN78
BALPHARMA,BALPHA
IBULHSGFIN,IBHN79
SHIVAUM,SHIAUM
IBULHSGFIN,IBHN80
RATNAMANI,RATMET
IBULHSGFIN,IBHN81
KAMDHENU,KAMLIM
PRICOL-RE,PRIRE1
IBULHSGFIN,IBHN82
PIONEEREMB,PIOEMB
IBULHSGFIN,IBHN83
GTNTEX,GTNTE
IBULHSGFIN,IBHN84
HEROMOTOCO,HERHON
IBULHSGFIN,IBHN85
IBULHSGFIN,IBHN86
IBULHSGFIN,IBHN87
JKLAKSHMI,JKLAKS
IBULHSGFIN,IBHN88
PFOCUS,PRIFOC
IBULHSGFIN,IBHN89
ALLCARGO,ALLLOG
MOXSH,MOXOVE
AKASH,AKAINF
MUNJALAU,MUNAUT
GAL-RE,GYSRE1
EMAMILTD,EMALIM
NECCLTD,NOREAS
HOMESFY,HOMREA
GMRINFRA,GMRINF
AMJUMBO,AMJUM
VIDHIING,VIDDYE
TECHM,TECMAH
ATNINTER,ATNINT
AVONMORE,ALLCAP
GRINDWELL,GRINOR
RAMANEWS,SHRAMA
RBMINFRA,RBMINF
MANUGRAPH,MANIND
VOLTAMP,VOLTRA
RADIANTCMS,RADCAS
ATLANTA,ATLLIM
ACE,ACTCON
HOVS,HOVSER
SELAN,SELEXP
ANDHRSUGAR,ANDSUG
HIMATSEIDE,HIMSEI
IRCTC,INDRAI
HINDUJAFO,HINFOU
SONAHISONA,SONHIS
ANANTRAJ,ANARAJ
BINANIIND,BININD
91D060423,TQD23A
182D060723,THG23A
HINDALCO,HINDAL
364D040124,TYA24A
SKYGOLD,SKYGOL
ICSA,ICSA
JMFINANCIL,JMFINA
SGBDE30III,SGBT62
ELECON,ELEENG
DSPBANKETF,DSPBAN
TALBROAUTO,TALAUT
ALICON,ALICAS
ANLON,ANLTEC
GEECEE,GEEVEN
MADHUCON,MADPRO
ANSALHSG,ANSHOU
MBECL,MCNBHA
GATI,GATLIM
SAH,SAHPOL
INFOMEDIA,INFPRE
VISHWARAJ,VISSU
FIEMIND,FIEIND
HANUNG,HANTOY
HINDCOMPOS,HINCOM
JHS,JHSSVE
DCBBANK,DCB
INSPIRISYS,AFL
CMNL,CHAMET
GLOBALVECT,GLOVEC
SHYAMTEL,SHYTEL
GTLINFRA,GTLINF
HCC,HINCON
FLUOROCHEM,GUJFLU
NAUKRI,INFEDG
SHIVAMAUTO,SHIAUT
MANOMAY,MANTEX
BBL,BHABIJ
DUCOL,DUCORG
AARVEEDEN,AARDEN
GESHIP,GESHIP
JETFRE-RE,JETRE1
TORNTPOWER,TORPOW
PARSVNATH,PARDE
BAIDFIN,BAILEA
MANALIPETC,MANPET
SUTLEJTEX,SUTTEX
GREENPANEL,GREEI
KAMOPAINTS,KAMVEN
DAAWAT,LTOVER
RUCHIRA,RUCPAP
AARTI-RE,AARRE1
SOBHA,SOBDEV
IIFL,IIFL33
BATLIBOI,BATLIB
DONEAR,DONIND
IIFL,IIFL34
MMFL,MMFORG
IIFL,IIFL35
IIFL,IIFL36
IIFL,IIFL37
IIFL,IIFL38
IIFL,IIFL39
VENUSREM,VENREM
INDO-RE,INRE1
AARTIPHARM,AARPHA
KUANTUM,KAUPAP
JINDRILL,JINDAD
BANCOINDIA,BANPRO
ARIHANT,ARIFOU
HIRECT,HINREC
CREST,CREVEN
HERIT-RE,HERRE1
PLASTIBLEN,PLASTI
NFL,NATFER
ARISTO,ARIBIO
VISUINTL,VISINT
HINDUNILVR,HINLEV
PRAENG,PRAENG
KESARENT,KESENT
KOTAKLIQ,KOTN1D
PARACABLES,PARCOM
HBLPOWER,HBLPOW
TANLA,TANSOL
SGBOCT27,SGBT32
JASH,JASENG
PSTL,PYRSAI
CAIRN,CAIIND
ABSLBANETF,BIRBAN
SHREEASHTA,SHRASH
SITINET,SITCAB
